22-06-2022 14:48:34.196 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.buildDefaultMergedContextConfiguration - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.ipiecoles.java.java350.integration.EmployeServiceIntegrationTest], using SpringBootContextLoader
22-06-2022 14:48:34.205 INFO  o.s.t.c.s.AbstractContextLoader.generateDefaultLocations - Could not detect default resource locations for test class [com.ipiecoles.java.java350.integration.EmployeServiceIntegrationTest]: no resource found for suffixes {-context.xml, Context.groovy}.
22-06-2022 14:48:34.206 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils.detectDefaultConfigurationClasses - Could not detect default configuration classes for test class [com.ipiecoles.java.java350.integration.EmployeServiceIntegrationTest]: EmployeServiceIntegrationTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
22-06-2022 14:48:34.313 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getOrFindConfigurationClasses - Found @SpringBootConfiguration com.ipiecoles.java.java350.Java350Application for test class com.ipiecoles.java.java350.integration.EmployeServiceIntegrationTest
22-06-2022 14:48:34.421 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getDefaultTestExecutionListenerClassNames - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
22-06-2022 14:48:34.439 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getTestExecutionListeners - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@59ce792e, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4860827a, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@404db674, org.springframework.test.context.support.DirtiesContextTestExecutionListener@50f097b5, org.springframework.test.context.transaction.TransactionalTestExecutionListener@7add838c, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@3662bdff, org.springframework.test.context.event.EventPublishingTestExecutionListener@1bb15351, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@4fa822ad, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@597f0937, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7ad1caa2, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6b6b3572, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@65d8dff8]
22-06-2022 14:48:34.661 INFO  c.i.j.j.i.EmployeServiceIntegrationTest.logStarting - Starting EmployeServiceIntegrationTest on DESKTOP-DI3HUCC with PID 1480 (started by donie in C:\Users\donie\OneDrive\Bureau\Eval & cours\ipi-java-350-ex)
22-06-2022 14:48:34.662 INFO  c.i.j.j.i.EmployeServiceIntegrationTest.logStartupProfileInfo - No active profile set, falling back to default profiles: default
22-06-2022 14:48:35.026 INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
22-06-2022 14:48:35.104 INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 62ms. Found 1 JPA repository interfaces.
22-06-2022 14:48:35.540 INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Starting...
